iller;nüfus
adana;611.037
Adýyaman;750.193
Afyonkarahisar;499.801
Aðrý;439.474
Aksaray;342.378
Amasya;5.864.049
Ankara;2.722.103
Antalya;91.354
Ardahan;169.280
Artvin;1.165.943
Aydýn;1.276.096
Balýkesir;206.715
Bartýn;654.528
Batman;83.676
Bayburt;228.495
Bilecik;283.276
Bingöl;359.808
Bitlis;326.409
Bolu;275.826
Burdur;3.238.618
Bursa;568.966
Çanakkale;199.981
Çankýrý;521.335
Çorum;1.061.371
Denizli;1.833.684
Diyarbakýr;412.344
Düzce;421.247
Edirne;603.941
Elazýð;241.239
Erzincan;745.005
Erzurum;921.630
Eskiþehir;2.193.363
Gaziantep;455.922
Giresun;142.617
Gümüþhane;282.191
Hakkâri;1.562.185
Hatay;206.857
Iðdýr;446.409
Isparta;15.701.602
Ýstanbul;4.493.242
Ýzmir;1.134.105
Kahramanmaraþ;250.478
Karabük;262.791
Karaman;272.300
Kars;381.991
Kastamonu;1.452.458
Kayseri;283.053
Kýrýkkale;379.031
Kýrklareli;244.546
Kýrþehir;156.739
Kilis;2.130.006
Kocaeli;2.330.024
Konya;571.078
Kütahya;750.491
Malatya;1.475.353
Manisa;895.911
Mardin;1.954.279
Mersin;1.081.867
Muðla;392.301
Muþ;317.952
Nevþehir;372.708
Niðde;770.711
Ordu;561.061
Osmaniye;346.977
Rize;1.110.735
Sakarya;1.382.376
Samsun;336.453
Siirt;226.957
Sinop;637.007
Sivas;2.237.745
Þanlýurfa;570.826
Þýrnak;1.187.162
Tekirdað;612.674
Tokat;822.270
Trabzon;86.612
Tunceli;375.310
Uþak;1.118.087
Van;307.882
Yalova;413.161
Yozgat;586.802
Zonguldak;
