Ýllere ve tiyatro grubu türlerine göre tiyatrolarda oynanan telif/çeviri eser sayýsý, 2023/'24 sezonu;;;;;;;;;;;;;;;;;;;;;;;
The number of original/translated shows performed in theaters by provinces and theater group types, 2023/'24 season;;;;;;;;;;;;;;;;;;;;;;;
;;;;"Telif/Çeviri 
Original/Translated";;;;;;;;;;;;;;;;;;;
Ýl                           Province;"Tiyatro salonu sayýsý
The number of theater halls";"Koltuk sayýsý
The number of seats";;"Devlet Tiyatrolarý
The number of state theaters";;;;"Özel Tiyatrolar
The number of private theaters";;;;"Belediye Tiyatrolarý
The number of municipal theaters";;;;"Üniversite Tiyatrolarý
The number of university theaters";;;;"Sivil Toplum Kuruluþu Tiyatrolarý
The number of non-governmental institution theaters";;;
;;;;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";
Türkiye; 1 025; 431 631;;224(1);105(1);119(1);; 8 113; 7 280;833;;  961;  683;  278;;299;201;98;;  147;  123;  24;
Adana;  25; 9 151;;16;9;7;;  109;  92;  17;;  21;21;-;;  11;4;  7;;-;-;-;
Adýyaman;  1;  700;;2;2;-;;-;-;-;;-;-;-;;-;-;-;;-;-;-;
Afyonkarahisar;  3;  927;;6;5;1;;  20;  18;  2;;  3;2;1;;  1;-;  1;;-;-;-;
Aðrý;  4; 1 160;;2;  1;1;;  8;  8;-;;-;-;-;;-;-;-;;-;-;-;
Aksaray;  2;  743;;6;2;4;;  25;  20;  5;;  1;1;-;;-;-;-;;  2;  2;-;
Amasya;  4; 1 286;;-;-;-;;  22;  20;  2;;-;-;-;;  5;5;-;;-;-;-;
Ankara;  81; 34 951;;92;43;49;;  359;  300;  59;;  65;60;5;;  14;4;  10;;  7;  4;  3;
Antalya;  32; 23 999;;43;20;23;;  223;  178;  45;;  43;28;15;;  15;15;-;;  4;  4;-;
Ardahan;  3; 1 170;;3;3;-;;  1;  1;-;;-;-;-;;-;-;-;;-;-;-;
Artvin;  3; 1 513;;3;1;2;;  4;  4;-;;-;-;-;;-;-;-;;-;-;-;
Aydýn;  11; 4 419;;5;1;4;;  69;  68;  1;;  11;10;1;;  2;2;-;;-;-;-;
Balýkesir;  19; 10 024;;5;2;3;;  177;  166;  11;;  10;10;-;;  3;1;  2;;  9;  9;-;
Bartýn;  5; 1 450;;3;3;-;;  15;  15;-;;-;-;-;;  6;6;-;;  1;  1;-;
Batman;  3; 1 040;;2;1;1;;  7;  6;  1;;-;-;-;;-;-;-;;  1;  1;-;
Bayburt;  2;  539;;2;2;-;;-;-;-;;-;-;-;;  2;2;-;;-;-;-;
Bilecik;  2;  800;;3;1;2;;  5;  5;-;;  3;2;1;;  ;-;-;;-;-;-;
Bingöl;  3; 1 625;;3;1;2;;  13;  13;-;;  ;-;-;;  1;1;-;;  1;  1;-;
Bitlis;  7; 1 753;;1;-;1;;  10;  10;-;;  4;4;-;;-;-;-;;-;-;-;
Bolu;  4; 2 649;;2;2;-;;  12;  12;-;;-;-;-;;  7;3;  4;;-;-;-;
Burdur;  5; 1 462;;2;2;-;;  25;  24;  1;;  7;7;-;;-;-;-;;  1;  1;-;
Bursa;  33; 16 641;;32;17;15;;  243;  218;  25;;  23;  12;11;;  9;  2;  7;;  5;  4;  1;
Çanakkale;  9; 5 635;;12;7;5;;  55;  52;  3;;  4;2;2;;-;-;-;;-;-;-;
Çankýrý;  3; 1 780;;3;2;1;;  7;  7;-;;  4;3;1;;  1;1;-;;-;-;-;
Çorum;  2; 1 018;;22;13;9;;  16;  14;  2;;-;-;-;;-;-;-;;-;-;-;
Denizli;  11; 7 438;;20;6;14;;  35;  27;  8;;  15;14;  1;;  9;5;  4;;  2;  2;-;
