Ýllere ve tiyatro grubu türlerine göre tiyatrolarda oynanan yetiþkin/çocuk eser sayýsý, 2023/'24 sezonu;;;;;;;;;;;;;;;;;;;;;;;
The number of adult/children shows performed in theaters by provinces and theater group types, 2023/'24 season;;;;;;;;;;;;;;;;;;;;;;;
;;;;"Yetiþkin/Çocuk 
Adult/Children";;;;;;;;;;;;;;;;;;;
Ýl                           Province;"Tiyatro salonu sayýsý
The number of theater halls";"Koltuk sayýsý
The number of seats";;"Devlet Tiyatrolarý
The number of state theaters";;;;"Özel Tiyatrolar
The number of private theaters";;;;"Belediye Tiyatrolarý
The number of municipal theaters";;;;"Üniversite Tiyatrolarý
The number of university theaters";;;;"Sivil Toplum Kuruluþu Tiyatrolarý
The number of non-governmental institution theaters";;;
;;;;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";
Türkiye; 1 025; 431 631;;224(1);184(1);40(1);; 8 113; 4 204; 3 909;;  961;  676;  285;;299;289;10;;  147;  123;  24;
Adana;  25; 9 151;;  16;13;3;;  109;63;  46;;  21;19;2;;  11;11;-;;-;-;-;
Adýyaman;  1;  700;;  2;1;1;;-;-;-;;-;-;-;;-;-;-;;-;-;-;
Afyonkarahisar;  3;  927;;  6;6;-;;  20;17;  3;;  3;3;-;;  1;1;-;;-;-;-;
Aðrý;  4; 1 160;;  2;2;-;;  8;3;  5;;-;-;-;;-;-;-;;-;-;-;
Aksaray;  2;  743;;  6;6;-;;  25;14;  11;;  1;1;-;;-;-;-;;  2;  2;-;
Amasya;  4; 1 286;;-;-;-;;  22;9;  13;;-;-;-;;  5;4;  1;;-;-;-;
Ankara;  81; 34 951;;  92;72;20;;  359;240;  119;;  65;40;25;;  14;14;-;;  7;  6;  1;
Antalya;  32; 23 999;;  43;34;9;;  223;127;  96;;  43;20;23;;  15;15;-;;  4;  3;  1;
Ardahan;  3; 1 170;;  3;2;  1;;  1;-;  1;;-;-;-;;-;-;-;;-;-;-;
Artvin;  3; 1 513;;  3;3;-;;  4;2;  2;;-;-;-;;-;-;-;;-;-;-;
Aydýn;  11; 4 419;;  5;5;-;;  69;31;  38;;  11;8;3;;  2;2;-;;-;-;-;
Balýkesir;  19; 10 024;;  5;4;1;;  177;89;  88;;  10;9;1;;  3;3;-;;  9;  2;  7;
Bartýn;  5; 1 450;;  3;3;-;;  15;9;  6;;-;-;-;;  6;6;-;;  1;  1;-;
Batman;  3; 1 040;;  2;2;-;;  7;2;  5;;-;-;-;;-;-;-;;  1;  1;-;
Bayburt;  2;  539;;  2;1;1;;-;-;-;;-;-;-;;  2;2;-;;-;-;-;
Bilecik;  2;  800;;  3;3;-;;  5;5;-;;  3;2;1;;-;-;-;;-;-;-;
Bingöl;  3; 1 625;;  3;3;-;;  13;4;  9;;-;-;-;;  1;1;-;;  1;  1;-;
Bitlis;  7; 1 753;;  1;1;-;;  10;5;  5;;  4;2;2;;-;-;-;;-;-;-;
Bolu;  4; 2 649;;  2;2;-;;  12;6;  6;;-;-;-;;  7;7;-;;-;-;-;
Burdur;  5; 1 462;;  2;2;-;;  25;9;  16;;  7;4;3;;-;-;-;;  1;  1;-;
Bursa;  33; 16 641;;  32;  25;7;;  243;  168;  75;;  23;  22;1;;  9;  9;-;;  5;  5;-;
Çanakkale;  9; 5 635;;  12;11;1;;  55;23;  32;;  4;4;-;;-;-;-;;-;-;-;
Çankýrý;  3; 1 780;;  3;3;-;;  7;1;  6;;  4;4;-;;  1;1;-;;-;-;-;
Çorum;  2; 1 018;;  22;20;2;;  16;10;  6;;-;-;-;;-;-;-;;-;-;-;
Denizli;  11; 7 438;;  20;20;-;;  35;22;  13;;  15;10;  5;;  9;8;  1;;  2;  2;-;
Diyarbakýr;  11; 4 088;;  26;24;2;;-;-;-;;  4;4;-;;  7;7;-;;-;-;-;
Düzce;  6; 1 374;;  2;2;-;;  25;16;  9;;-;-;-;;  1;1;-;;  1;  1;-;
Edirne;  7; 3 406;;  21;20;1;;  19;13;  6;;-;-;-;;-;-;-;;-;-;-;
Elazýð;  6; 1 903;;  17;16;1;;  55;24;  31;;  1;1;-;;  3;3;-;;  1;  1;-;
Erzincan;  3; 2 125;;  3;3;-;;  5;2;  3;;-;-;-;;-;-;-;;-;-;-;
Erzurum;  8; 3 090;;  19;16;3;;  12;8;  4;;  9;5;4;;  2;2;-;;  1;  1;-;
Eskiþehir;  13; 5 842;;  5;4;1;;  74;59;  15;;  21;15;6;;  5;5;-;;  4;  4;-;
Gaziantep;  13; 9 294;;  30;27;3;;  71;56;  15;;  3;2;1;;  6;5;  1;;  11;  9;  2;
Giresun;  5; 1 359;;  1;1;-;;  5;4;  1;;  4;3;1;;-;-;-;;-;-;-;
Gümüþhane;  5; 1 591;;  3;3;-;;  4;3;  1;;-;-;-;;  1;1;-;;-;-;-;
Hakkari;  1; 1 600;;  1;-;1;;-;-;-;;-;-;-;;-;-;-;;-;-;-;
Hatay;  11; 2 253;;  4;3;1;;  253;153;  100;;  7;3;4;;  3;3;-;;  1;-;  1;
Iðdýr;  1;  360;;  4;4;-;;  13;5;  8;;-;-;-;;  1;1;-;;-;-;-;
Isparta;  6; 2 034;;  6;6;-;;  19;12;  7;;-;-;-;;  2;2;-;;-;-;-;
Ýstanbul;  253; 92 666;;  63;57;6;; 4 056;1847; 2 209;;  335;280;55;;  74;73;  1;;  17;  12;  5;
Ýzmir;  75; 29 825;;  32;27;  5;;  516;335;  181;;  64;47;  17;;  25;25;-;;  30;  29;  1;
Kahramanmaraþ;  2;  822;;  14;13;1;;-;-;-;;-;-;-;;  1;1;-;;-;-;-;
Karabük;  5; 1 771;;  4;4;-;;  38;16;  22;;-;-;-;;  4;3;  1;;  2;  2;-;
Karaman;  7; 1 663;;  5;5;-;;  33;13;  20;;-;-;-;;-;-;-;;-;-;-;
Kars;  5; 1 877;;  4;4;-;;  21;8;  13;;-;-;-;;-;-;-;;-;-;-;
Kastamonu;  7; 2 151;;  4;4;-;;  29;16;  13;;-;-;-;;  1;1;-;;  2;  2;-;
Kayseri;  11; 6 316;;  18;15;3;;  47;35;  12;;  1;-;1;;  12;12;-;;  2;  1;  1;
Kýrýkkale;  1;  342;;  4;4;-;;  30;13;  17;;-;-;-;;-;-;-;;  1;  1;-;
Kýrklareli;  6; 2 081;;  7;7;-;;  36;29;  7;;  7;6;1;;  11;10;  1;;  4;  4;-;
Kýrþehir;  2;  924;;  2;2;-;;-;-;-;;  90;45;45;;-;-;-;;-;-;-;
Kilis;  2;  907;;  4;4;-;;  10;8;  2;;-;-;-;;-;-;-;;  1;  1;-;
Kocaeli;  30; 11 971;;  3;3;-;;  301;93;  208;;  32;20;12;;-;-;-;;  2;  2;-;
Konya;  27; 12 591;;  31;24;7;;  48;28;  20;;  17;10;7;;  4;4;-;;  1;  1;-;
Kütahya;  9; 6 404;;  5;4;1;;-;-;-;;  5;5;-;;-;-;-;;  8;  6;  2;
Malatya;  8; 3 326;;  11;10;1;;  23;14;  9;;  2;-;2;;  5;5;-;;  1;  1;-;
Manisa;  9; 3 584;;  1;1;-;;  56;19;  37;;  5;3;2;;-;-;-;;-;-;-;
Mardin;  7; 4 000;;  5;5;-;;  8;4;  4;;-;-;-;;-;-;-;;  1;-;  1;
Mersin;  23; 9 842;;  9;9;-;;  71;51;  20;;  26;13;13;;  5;5;-;;  1;  1;-;
Muðla;  15; 9 096;;  6;6;-;;  71;45;  26;;  29;18;11;;  1;1;-;;-;-;-;
Muþ;  9; 3 474;;  4;3;1;;  20;7;  13;;-;-;-;;  6;6;-;;-;-;-;
Nevþehir;  3; 2 312;;  15;15;-;;  10;2;  8;;-;-;-;;-;-;-;;-;-;-;
Niðde;  2;  957;;  8;8;-;;  17;8;  9;;-;-;-;;-;-;-;;-;-;-;
Ordu;  10; 3 016;;  17;  17;-;;  54;  35;  19;;  21;  13;8;;-;-;-;;  6;  5;  1;
Osmaniye;  3; 1 310;;  5;5;-;;  14;6;  8;;-;-;-;;-;-;-;;  ;-;-;
Rize;  7; 2 547;;  15;15;-;;  8;5;  3;;-;-;-;;  1;1;-;;  5;  5;-;
Sakarya;  14; 3 899;;  3;3;-;;  65;30;  35;;  4;3;1;;-;-;-;;  6;  6;-;
Samsun;  6; 2 598;;  19;18;1;;  46;36;  10;;  4;2;2;;  7;5;  2;;  1;  1;-;
Siirt;  2; 1 060;;  1;1;-;;  2;-;  2;;-;-;-;;-;-;-;;-;-;-;
Sinop;  14; 3 830;;  4;4;-;;  56;32;  24;;-;-;-;;  3;3;-;;-;-;-;
Sivas;  6; 3 267;;  17;14;  3;;  47;31;  16;;-;-;-;;  6;6;-;;-;-;-;
Þanlýurfa;  9; 5 818;;  8;4;4;;  17;7;  10;;  8;4;4;;-;-;-;;-;-;-;
Þýrnak;  1;  809;;1;-;1;;  1;1;-;;-;-;-;;-;-;-;;-;-;-;
Tekirdað;  15; 5 789;;  8;8;-;;  115;58;  57;;  8;7;1;;-;-;-;;  1;  1;-;
Tokat;  4; 2 120;;  6;6;-;;  3;3;-;;-;-;-;;  3;3;-;;-;-;-;
Trabzon;  16; 4 763;;  32;27;5;;  137;87;  50;;  13;7;6;;  2;2;-;;  1;-;  1;
Tunceli;  1;  275;;  2;2;-;;  6;2;  4;;-;-;-;;-;-;-;;-;-;-;
Uþak;  4; 1 770;;  9;9;-;;  25;14;  11;;  8;5;3;;  3;2;  1;;  1;  1;-;
Van;  9; 1 668;;  23;10;13;;  12;8;  4;;  16;4;12;;-;-;-;;-;-;-;
Yalova;  2;  594;;  3;3;-;;  12;10;  2;;-;-;-;;-;-;-;;-;-;-;
Yozgat;  3; 1 250;;  7;7;-;;  1;1;-;;-;-;-;;  7;6;  1;;-;-;-;
Zonguldak;  8; 2 154;;  3;3;-;;  36;33;  3;;  3;3;-;;  1;1;-;;  1;  1;-;
TÜÝK, Sinema ve Gösteri Sanatlarý Ýstatistikleri, 2024;;;;;;;;;;;;;;;;;;;;;;;
TurkStat, Cinema and Performing Arts Statistics, 2024;;;;;;;;;;;;;;;;;;;;;;;
- Bilgi yoktur.;;;;;;;;;;;;;;;;;;;;;;;
- Denotes magnitude null.;;;;;;;;;;;;;;;;;;;;;;;
(1) Devlet Tiyatrolarý için illere göre eser sayýlarý toplamý mükerrerlik arz ettiðinden Türkiye için toplam sayýyý vermemektedir.;;;;;;;;;;;;;;;;;;;;;;;
(1) The total number of shows listed by province for State Theaters does not represent the national total for Turkey due to duplication;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
