Ýllere göre tiyatrolarda oynanan eser, gösteri ve seyirci sayýsý, 2023/'24 sezonu;;;;;;;;;;;;;;;;;;;;;;;;;;
The number of shows, performances and audiences performed in theatre by provinces, 2023/'24 season;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;"Telif/Çeviri 
Original/Translated";;;;;;;;;;;;"Yetiþkin/Çocuk 
Adult/Children";;;;;;;;;;
Ýl                           Province;"Tiyatro salonu sayýsý
The number of theatre halls";"Koltuk sayýsý
The number of seats";;"Oynanan eser sayýsý
The number of shows";;;;"Gösteri sayýsý
The number of performances";;;;"Seyirci sayýsý
The number of audiences";;;;"Oynanan eser sayýsý
The number of shows";;;;"Gösteri sayýsý
The number of performances";;;;"Seyirci sayýsý
The number of audiences";;
;;;;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children"
Türkiye; 1 025; 431 631;;9 744(1);8 392(1);1 352(1);; 35 403; 27 087; 8 316;;8 053 186;5 895 145;2 158 041;;9 744(1);5 476(1);4 268(1);; 35 403; 22 929; 12 474;;8 053 186;5 683 407;2 369 779
Adana;  25; 9 151;;  157;  126;  31;; 1 009;  858;  151;; 162 453; 131 787; 30 666;;  157;106;51;; 1 009;258;  751;; 162 453; 78 247; 84 206
Adýyaman;  1;  700;;  2;  2;-;;  7;  7;-;; 2 910; 2 910;-;;  2;1;1;;  7;1;  6;; 2 910;  650; 2 260
Afyonkarahisar;  3;  927;;  30;  25;  5;;  57;  43;  14;; 16 826; 12 616; 4 210;;  30;27;3;;  57;54;  3;; 16 826; 15 925;  901
Aðrý;  4; 1 160;;  10;  9;  1;;  14;  13;  1;; 3 084; 2 614;  470;;  10;5;5;;  14;5;  9;; 3 084; 2 680;  404
Aksaray;  2;  743;;  34;  25;  9;;  47;  37;  10;; 17 254; 14 050; 3 204;;  34;23;11;;  47;26;  21;; 17 254; 10 442; 6 812
Amasya;  4; 1 286;;  27;  25;  2;;  53;  50;  3;; 14 900; 14 550;  350;;  27;13;14;;  53;26;  27;; 14 900; 7 470; 7 430
Ankara;  81; 34 951;;  537;  411;  126;; 4 060; 2 798; 1 262;; 890 244; 546 984; 343 260;;  537;372;165;; 4 060;2864; 1 196;; 890 244; 709 551; 180 693
Antalya;  32; 23 999;;  328;  245;  83;; 1 113;  665;  448;; 292 384; 194 944; 97 440;;  328;199;129;; 1 113;642;  471;; 292 384; 198 071; 94 313
Ardahan;  3; 1 170;;  4;  4;-;;  5;  5;-;; 1 405; 1 405;-;;  4;2;2;;  5;3;  2;; 1 405;  930;  475
Artvin;  3; 1 513;;  7;  5;  2;;  9;  7;  2;; 2 394; 1 435;  959;;  7;5;  2;;  9;5;  4;; 2 394; 1 904;  490
Aydýn;  11; 4 419;;  87;  81;  6;;  122;  110;  12;; 30 388; 26 542; 3 846;;  87;46;41;;  122;57;  65;; 30 388; 17 561; 12 827
Balýkesir;  19; 10 024;;  204;  188;  16;;  476;  452;  24;; 93 818; 86 854; 6 964;;  204;107;97;;  476;266;  210;; 93 818; 63 193; 30 625
Bartýn;  5; 1 450;;  25;  25;-;;  38;  38;-;; 9 299; 9 299;-;;  25;19;6;;  38;26;  12;; 9 299; 6 649; 2 650
Batman;  3; 1 040;;  10;  8;  2;;  21;  18;  3;; 1 686; 1 330;  356;;  10;5;5;;  21;7;  14;; 1 686; 1 236;  450
Bayburt;  2;  539;;  4;  4;-;;  4;  4;-;; 1 289; 1 289;-;;  4;3;  1;;  4;3;  1;; 1 289; 1 000;  289
Bilecik;  2;  800;;  11;  8;  3;;  16;  13;  3;; 6 515; 5 315; 1 200;;  11;10;  1;;  16;13;  3;; 6 515; 5 615;  900
Bingöl;  3; 1 625;;  18;  16;  2;;  25;  23;  2;; 6 023; 4 363; 1 660;;  18;9;9;;  25;10;  15;; 6 023; 3 693; 2 330
Bitlis;  7; 1 753;;  15;  14;  1;;  46;  44;  2;; 8 243; 7 785;  458;;  15;8;7;;  46;11;  35;; 8 243; 2 470; 5 773
Bolu;  4; 2 649;;  21;  17;  4;;  25;  21;  4;; 9 444; 7 644; 1 800;;  21;15;6;;  25;16;  9;; 9 444; 8 094; 1 350
Burdur;  5; 1 462;;  35;  34;  1;;  77;  75;  2;; 12 436; 12 336;  100;;  35;16;19;;  77;29;  48;; 12 436; 6 103; 6 333
Bursa;  33; 16 641;;  312;  253;  59;; 1 169;  798;  371;; 289 027; 198 189; 90 838;;  312;229;83;; 1 169;915;  254;; 289 027; 237 331; 51 696
Çanakkale;  9; 5 635;;  71;  61;  10;;  111;  90;  21;; 44 406; 33 267; 11 139;;  71;38;33;;  111;58;  53;; 44 406; 32 564; 11 842
Çankýrý;  3; 1 780;;  15;  13;  2;;  17;  15;  2;; 4 882; 4 302;  580;;  15;  9;6;;  17;  9;  8;; 4 882; 2 347; 2 535
Çorum;  2; 1 018;;  38;  27;  11;;  90;  59;  31;; 25 184; 16 677; 8 507;;  38;30;8;;  90;67;  23;; 25 184; 18 525; 6 659
