citys;hall;seats;show;perf;child_perf;adult_perf;audience;child_au;adult_au;c_capacity;a_capacity;c_oc_rate;a_oc_rate;pop;ap_rate;capacity;s_rate;year;y_perf;y_au;y_pop;y_ap_rate;t_show;age_group;type;total_show;or_trans;pct_ot;pct_ac
Adana;  25; 9 151;  157; 1 009;  751;258; 162 453; 84 206; 78 247;6 872 401;2 360 958;1,23;3,31;2.270.298;7,155580457;9233359;1,759413882;2000; 11 215;3 746 162;63.174.483;5,929865702;184;adult;state;105;original;46,875;82,14285714
Adýyaman;  1;  700;  2;  7;  6;1; 2 910; 2 260;  650; 4 200;  700;53,81;92,86;611.037;0,476239573;4900;59,3877551;2001; 9 254;2 570 120;63.174.483;4,068288141;40;children;state;119;translated;53,125;17,85714286
Afyonkarahisar;  3;  927;  30;  57;  3;54; 16 826;  901; 15 925; 2 781; 50 058;32,40;31,81;750.193;2,242889496;52839;31,84390318;2002; 10 271;2 634 841;65.022.300;4,052211318;4204;adult;private;7.280;original;89,18289844;51,81806976
Aðrý;  4; 1 160;  10;  14;  9;5; 3 084;  404; 2 680; 10 440; 5 800;3,87;46,21;499.801;0,617045584;16240;18,99014778;2003; 13 305;2 758 206;65.938.265;4,183012701;3909;children;private;883;translated;10,81710156;48,18193024
Aksaray;  2;  743;  34;  47;  21;26; 17 254; 6 812; 10 442; 15 603; 19 318;43,66;54,05;439.474;3,926057059;34921;49,40866527;2004; 12 587;2 567 491;66.845.635;3,84092544;676;adult;municipal;683;original;71,07180021;70,3433923
Amasya;  4; 1 286;  27;  53;  27;26; 14 900; 7 430; 7 470; 34 722; 33 436;21,40;22,34;342.378;4,351915135;68158;21,8609701;2005; 11 453;2 716 251;67.743.052;4,009637771;285;children;municipal;278;translated;28,92819979;29,6566077
Ankara;  81; 34 951;  537; 4 060; 1 196;2864; 890 244; 180 693; 709 551;41 801 396;100 099 664;0,43;0,71;5.864.049;15,18138747;141901060;0,627369521;2006; 9 520;2 161 537;68.626.337;3,149719327;289;adult;university;201;original;67,22408027;96,65551839
Antalya;  32; 23 999;  328; 1 113;  471;642; 292 384; 94 313; 198 071;11 303 529;15 407 358;0,83;1,29;2.722.103;10,74110715;26710887;1,094624825;2007; 10 289; 2 419 262;70.586.256;3,427383937;10;children;university;98;translated;32,77591973;3,344481605
Ardahan;  3; 1 170;  4;  5;  2;3; 1 405;  475;  930; 2 340; 3 510;20,30;26,50;91.354;1,537973159;5850;24,01709402;2008; 17 410;  3 380 214;71.517.100;4,726441648;123;adult;institution;123;original;83,67346939;83,67346939
Artvin;  3; 1 513;  7;  9;  4;5; 2 394;  490; 1 904; 6 052; 7 565;8,10;25,17;169.280;1,414224953;13617;17,58096497;2009; 18 803;4 320 729;72.561.312;5,954590512;24;children;institution;24;translated;16,32653061;16,32653061
Aydýn;  11; 4 419;  87;  122;  65;57; 30 388; 12 827; 17 561; 287 235; 251 883;4,47;6,97;1.165.943;2,606302366;539118;5,636613877;2010; 25 378;5 248 226;73.722.988;7,118846024;;;;;;;
Balýkesir;  19; 10 024;  204;  476;  210;266; 93 818; 30 625; 63 193;2 105 040;2 666 384;1,45;2,37;1.276.096;7,351954712;4771424;1,966247393;2011; 23 361;5 385 588;74.724.269;7,207280944;;;;;;;
Bartýn;  5; 1 450;  25;  38;  12;26; 9 299; 2 650; 6 649; 17 400; 37 700;15,23;17,64;206.715;4,498464069;55100;16,87658802;2012; 25 043;5 621 066;75.627.384;7,432580241;;;;;;;
Batman;  3; 1 040;  10;  21;  14;7; 1 686;  450; 1 236; 14 560; 7 280;3,09;16,98;654.528;0,257590202;21840;7,71978022;2013; 28 359;6 244 821;76.667.864;8,145291487;;;;;;;
Bayburt;  2;  539;  4;  4;  1;3; 1 289;  289; 1 000;  539; 1 617;53,62;61,84;83.676;1,540465605;2156;59,78664193;2014; 28 877;6 076 128;77.695.904;7,820396813;;;;;;;
Bilecik;  2;  800;  11;  16;  3;13; 6 515;  900; 5 615; 2 400; 10 400;37,50;53,99;228.495;2,851265892;12800;50,8984375;2015; 28 257;5 853 445;78.741.053;7,433790605;;;;;;;
