Sezon yýlýna göre tiyatro salonu, oynanan eser ve seyirci sayýsý, 2000-2024;;;;;;;;;;;;;;;;;;;;;;;;;;;
The number of theatre halls, shows and audiences by season year, 2000-2024;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Tiyatro salonu sayýsý
The number of theatre halls";;;Telif/Çeviri - Original/Translated;;;;;;;;;;;;Yetiþkin/Çocuk - Adult/Children;;;;;;;;;;;
"Sezon yýlý
Season year";;"Koltuk sayýsý
The number of seats";;"Oynanan eser sayýsý
The number of shows";;;;"Gösteri sayýsý
The number of performances";;;;"Seyirci sayýsý
The number of audiences";;;;"Oynanan eser sayýsý
The number of shows";;;;"Gösteri sayýsý
The number of performances";;;;"Seyirci sayýsý
The number of audiences";;;
;;;;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";;"Toplam
Total";"Yetiþkin
Adult";"Çocuk
Children";
1999/'00;  108; 39 906;;  735;  547;  188;; 11 215; 7 547; 3 668;;3 746 162;2 376 066;1 370 096;;-;-;-;;-;-;-;;-;-;-;
2000/'01;  99; 36 615;;  630;  376;  254;; 9 254; 5 567; 3 687;;2 570 120;1 554 886;1 015 234;;-;-;-;;-;-;-;;-;-;-;
2001/'02;  102; 40 403;;  713;  460;  253;; 10 271; 6 706; 3 565;;2 634 841;1 666 463; 968 378;;-;-;-;;-;-;-;;-;-;-;
2002/'03;  97; 38 253;;  898;  632;  266;; 13 305; 9 364; 3 941;;2 758 206;1 809 068; 949 138;;-;-;-;;-;-;-;;-;-;-;
2003/'04;  115; 36 756;;  977;  674;  303;; 12 587; 8 813; 3 774;;2 567 491;1 787 714; 779 777;;-;-;-;;-;-;-;;-;-;-;
2004/'05;123; 46 438;; 1 177; 1 002;  175;; 11 453; 8 626; 2 827;;2 716 251;2 110 523; 605 728;;-;-;-;;-;-;-;;-;-;-;
2005/'06;  112; 38 175;;  608;  448;  160;; 9 520; 6 832; 2 688;;2 161 537;1 519 852; 641 685;;-;-;-;;-;-;-;;-;-;-;
2006/'07;130;   42 502;;848;607;241;; 10 289; 7 574; 2 715;; 2 419 262; 1 701 291;  717 971;;-;-;-;;-;-;-;;-;-;-;
